city,companyField,companyName,companySize,detailLink,experience,full_or_parttime,month_salary,positionName,qualification
重庆,"移动互联网,电子商务",重庆优启科技有限公司,50-150人,https://www.lagou.com/jobs/5117516.html,1-3年,全职,6k-8k,数据分析师,大专
,,,,,,,,,
长沙,"移动互联网,数据服务",长沙冉星信息科技有限公司,50-150人,https://www.lagou.com/jobs/4845373.html,3-5年,全职,23k-30k,大数据分析师,本科
,,,,,,,,,
广州,"移动互联网,电子商务",广州富力地产股份有限公司,2000人以上,https://www.lagou.com/jobs/1396191.html,3-5年,全职,10k-20k,数据分析,本科
,,,,,,,,,
武汉,"移动互联网,金融",灯塔财经信息有限公司,15-50人,https://www.lagou.com/jobs/5037237.html,1-3年,全职,3k-6k,数据分析师,本科
,,,,,,,,,
南京,"移动互联网,O2O",北京满运物流信息有限公司,500-2000人,https://www.lagou.com/jobs/4962307.html,1-3年,全职,9k-10k,数据分析,本科
,,,,,,,,,
北京,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/5132872.html,1-3年,全职,10k-20k,数据分析师-增长方向,本科
,,,,,,,,,
北京,"移动互联网,教育",北京世纪好未来教育科技有限公司,2000人以上,https://www.lagou.com/jobs/5092489.html,不限,实习,2k-3k,数据分析实习生,本科
,,,,,,,,,
北京,游戏,时空幻境（北京）科技有限公司,150-500人,https://www.lagou.com/jobs/4545009.html,5-10年,全职,18k-36k,数据分析,本科
,,,,,,,,,
北京,"移动互联网,文化娱乐",北京车之家信息技术有限公司,2000人以上,https://www.lagou.com/jobs/3984989.html,3-5年,全职,15k-25k,数据分析师,本科
,,,,,,,,,
北京,金融,狮桥融资租赁（中国）有限公司,500-2000人,https://www.lagou.com/jobs/5024476.html,3-5年,全职,15k-25k,数据分析师,本科
,,,,,,,,,
青岛,金融,上海前隆信息科技有限公司,500-2000人,https://www.lagou.com/jobs/4097059.html,1-3年,全职,10k-15k,数据分析师,硕士
,,,,,,,,,
北京,"移动互联网,金融",北京瓴岳信息技术有限公司,150-500人,https://www.lagou.com/jobs/5082453.html,1-3年,全职,15k-30k,数据分析师,硕士
,,,,,,,,,
北京,"移动互联网,O2O",北京三快在线科技有限公司,2000人以上,https://www.lagou.com/jobs/5036359.html,3-5年,全职,15k-25k,数据分析,本科
,,,,,,,,,
武汉,"游戏,文化娱乐",湖北盛天网络技术股份有限公司,500-2000人,https://www.lagou.com/jobs/5051277.html,1-3年,全职,4k-6k,数据分析师,大专
,,,,,,,,,
深圳,"移动互联网,数据服务",深圳数位传媒科技有限公司,50-150人,https://www.lagou.com/jobs/4210417.html,5-10年,全职,20k-30k,数据分析师,本科
,,,,,,,,,
上海,数据服务,神策网络科技（北京）有限公司,150-500人,https://www.lagou.com/jobs/4757428.html,3-5年,全职,15k-25k,数据分析师-上海,本科
,,,,,,,,,
杭州,"移动互联网,电子商务",户帮户（杭州）科技有限公司,150-500人,https://www.lagou.com/jobs/5138372.html,1-3年,全职,8k-12k,数据分析,本科
,,,,,,,,,
北京,移动互联网,彪洋科技（北京）有限公司,150-500人,https://www.lagou.com/jobs/5095446.html,1-3年,全职,8k-15k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,O2O",北京互连众信科技有限公司,150-500人,https://www.lagou.com/jobs/3493586.html,1-3年,全职,10k-20k,数据分析,本科
,,,,,,,,,
北京,移动互联网,上海众言网络科技有限公司,150-500人,https://www.lagou.com/jobs/5065055.html,1-3年,全职,5k-9k,数据分析师,本科
,,,,,,,,,
